continent,country,income,life_exp,population,year,alpha_2,alpha_3
europe,Finland,1244.0,36.57,977662.0,1800,FI,FIN
asia,Myanmar,840.0,30.8,3506000.0,1800,MM,MMR
americas,Bahamas,1445.0,35.18,27350.0,1800,BS,BHS
africa,Egypt,791.0,33.0,4243515.0,1800,EG,EGY
europe,Germany,1639.0,38.37,22886919.0,1800,DE,DEU
asia,Bhutan,629.0,28.8,89989.0,1800,BT,BTN
americas,Argentina,1507.0,33.2,534000.0,1800,AR,ARG
asia,Fiji,785.0,26.1,130533.0,1800,FJ,FJI
europe,Estonia,938.0,36.14,334136.0,1800,EE,EST
africa,Algeria,716.0,28.82,2503218.0,1800,DZ,DZA
europe,Cyprus,853.0,38.5,184392.0,1800,CY,CYP
americas,Cuba,864.0,32.2,345043.0,1800,CU,CUB
americas,Haiti,633.0,29.0,723000.0,1800,HT,HTI
europe,Belgium,2412.0,40.0,3138137.0,1800,BE,BEL
americas,Colombia,963.0,32.0,1206000.0,1800,CO,COL
asia,United Arab Emirates,998.0,30.7,40153.0,1800,AE,ARE
africa,Liberia,797.0,31.1,313543.0,1800,LR,LBR
africa,Sierra Leone,734.0,25.1,794264.0,1800,SL,SLE
europe,Denmark,2013.0,37.41,1062514.0,1800,DK,DNK
americas,Chile,1026.0,32.0,771447.0,1800,CL,CHL
europe,France,1803.0,33.97,29355111.0,1800,FR,FRA
europe,Austria,1848.0,34.4,3205587.0,1800,AT,AUT
americas,El Salvador,974.0,28.7,248000.0,1800,SV,SLV
africa,Gambia,813.0,28.8,103274.0,1800,GM,GMB
americas,Costa Rica,775.0,30.21,51987.0,1800,CR,CRI
europe,Switzerland,2701.0,38.0,1826051.0,1800,CH,CHE
europe,Montenegro,1057.0,35.4,126582.0,1800,ME,MNE
americas,Brazil,1109.0,32.0,3639636.0,1800,BR,BRA
europe,Greenland,393.0,33.87,9584.0,1800,GL,GRL
asia,Nepal,654.0,32.8,3881000.0,1800,NP,NPL
europe,Greece,1371.0,36.6,2151155.0,1800,GR,GRC
africa,Benin,597.0,31.0,636559.0,1800,BJ,BEN
europe,Azerbaijan,775.0,29.17,879960.0,1800,AZ,AZE
asia,Cambodia,903.0,35.0,2090000.0,1800,KH,KHM
africa,Namibia,540.0,32.4,229000.0,1800,NA,NAM
asia,New Zealand,658.0,34.05,100000.0,1800,NZ,NZL
europe,Hungary,1249.0,36.0,3499771.0,1800,HU,HUN
europe,Romania,815.0,35.7,5464085.0,1800,RO,ROU
americas,Aruba,833.0,34.42,19286.0,1800,AW,ABW
asia,Kazakhstan,1140.0,26.2,2041282.0,1800,KZ,KAZ
asia,Philippines,962.0,30.9,1894389.0,1800,PH,PHL
europe,Armenia,514.0,34.0,413326.0,1800,AM,ARM
asia,Afghanistan,603.0,28.21,3280000.0,1800,AF,AFG
americas,Antigua and Barbuda,757.0,33.54,37000.0,1800,AG,ATG
americas,Ecuador,529.0,32.9,500000.0,1800,EC,ECU
europe,Spain,1518.0,29.5,11549294.0,1800,ES,ESP
europe,Albania,667.0,35.4,410445.0,1800,AL,ALB
americas,Mexico,1379.0,26.9,6181708.0,1800,MX,MEX
asia,Pakistan,1021.0,25.8,13123633.0,1800,PK,PAK
asia,Kiribati,551.0,24.9,17876.0,1800,KI,KIR
asia,India,1052.0,25.44,168574895.0,1800,IN,IND
africa,Eritrea,532.0,30.2,205010.0,1800,ER,ERI
americas,Grenada,959.0,31.4,29409.0,1800,GD,GRD
asia,Mongolia,592.0,31.8,619000.0,1800,MN,MNG
europe,Poland,1213.0,35.9,9508747.0,1800,PL,POL
americas,Dominican Republic,667.0,29.9,89000.0,1800,DO,DOM
europe,Serbia,1358.0,35.5,2147197.0,1800,RS,SRB
asia,Bahrain,1235.0,30.3,64474.0,1800,BH,BHR
americas,Jamaica,1170.0,34.2,401000.0,1800,JM,JAM
americas,Belize,579.0,26.5,25526.0,1800,BZ,BLZ
africa,Djibouti,752.0,29.9,22848.0,1800,DJ,DJI
africa,Sudan,518.0,31.4,3994154.0,1800,SD,SDN
asia,Bangladesh,876.0,25.5,19227357.0,1800,BD,BGD
asia,Oman,915.0,32.3,318000.0,1800,OM,OMN
africa,Central African Republic,424.0,30.0,479444.0,1800,CF,CAF
africa,Guinea,450.0,29.5,983959.0,1800,GN,GIN
africa,Equatorial Guinea,356.0,29.8,80377.0,1800,GQ,GNQ
africa,Lesotho,393.0,32.8,276361.0,1800,LS,LSO
africa,Chad,418.0,30.9,1432000.0,1800,TD,TCD
europe,Bosnia and Herzegovina,669.0,35.1,851806.0,1800,BA,BIH
asia,Japan,1050.0,36.4,30294378.0,1800,JP,JPN
africa,Burundi,418.0,31.5,899097.0,1800,BI,BDI
africa,Ghana,696.0,28.0,2016034.0,1800,GH,GHA
africa,Burkina Faso,480.0,29.2,1665421.0,1800,BF,BFA
africa,Angola,618.0,26.98,1567028.0,1800,AO,AGO
europe,Bulgaria,1089.0,35.8,1992320.0,1800,BG,BGR
africa,Morocco,715.0,33.1,2503218.0,1800,MA,MAR
africa,Cameroon,626.0,28.75,1860054.0,1800,CM,CMR
americas,Canada,1314.0,39.0,645526.0,1800,CA,CAN
africa,Niger,446.0,30.8,1244861.0,1800,NE,NER
africa,Botswana,397.0,33.6,121000.0,1800,BW,BWA
europe,Latvia,751.0,33.0,590588.0,1800,LV,LVA
americas,Guatemala,857.0,25.8,458965.0,1800,GT,GTM
europe,Belarus,608.0,36.2,2355081.0,1800,BY,BLR
americas,Guyana,1214.0,31.12,166034.0,1800,GY,GUY
americas,Paraguay,835.0,35.5,143000.0,1800,PY,PRY
asia,China,985.0,32.0,321675014.0,1800,CN,CHN
asia,Iraq,970.0,31.2,1076920.0,1800,IQ,IRQ
europe,Ireland,1447.0,38.3,4064749.0,1800,IE,IRL
americas,Puerto Rico,1375.0,30.43,155000.0,1800,PR,PRI
europe,Italy,2225.0,29.69,18822234.0,1800,IT,ITA
americas,Trinidad and Tobago,1230.0,32.9,60000.0,1800,TT,TTO
asia,Jordan,976.0,31.7,217000.0,1800,JO,JOR
africa,Kenya,854.0,25.5,2574000.0,1800,KE,KEN
asia,Kuwait,1097.0,26.0,81280.0,1800,KW,KWT
africa,Zimbabwe,869.0,33.7,1085814.0,1800,ZW,ZWE
americas,Barbados,913.0,32.12,81729.0,1800,BB,BRB
asia,Israel,879.0,32.0,209954.0,1800,IL,ISR
africa,Libya,1050.0,33.1,531472.0,1800,LY,LBY
africa,Guinea-Bissau,777.0,32.0,218167.0,1800,GW,GNB
europe,Lithuania,1270.0,28.9,778655.0,1800,LT,LTU
europe,Luxembourg,1453.0,36.9,127030.0,1800,LU,LUX
africa,Madagascar,573.0,30.5,1543133.0,1800,MG,MDG
africa,Malawi,350.0,30.3,737000.0,1800,MW,MWI
asia,Australia,815.0,34.05,351014.0,1800,AU,AUS
asia,Malaysia,997.0,30.6,287000.0,1800,MY,MYS
europe,Malta,781.0,28.7,134072.0,1800,MT,MLT
africa,Mauritania,527.0,32.0,382696.0,1800,MR,MRT
africa,Mauritius,940.0,28.7,62865.0,1800,MU,MUS
europe,Norway,1278.0,37.92,868570.0,1800,NO,NOR
africa,Mozambique,390.0,30.28,1982324.0,1800,MZ,MOZ
asia,Indonesia,994.0,30.0,16108545.0,1800,ID,IDN
europe,Netherlands,4235.0,39.86,2254522.0,1800,NL,NLD
americas,Nicaragua,973.0,25.4,219387.0,1800,NI,NIC
africa,Nigeria,851.0,30.4,12100855.0,1800,NG,NGA
africa,Seychelles,792.0,37.0,12522.0,1800,SC,SYC
asia,Sri Lanka,898.0,32.6,1213000.0,1800,LK,LKA
africa,Mali,603.0,26.41,1403398.0,1800,ML,MLI
africa,Comoros,696.0,32.1,56346.0,1800,KM,COM
europe,Iceland,926.0,42.85,61428.0,1800,IS,ISL
americas,Panama,847.0,32.9,78842.0,1800,PA,PAN
asia,Lebanon,1081.0,29.7,332000.0,1800,LB,LBN
asia,Papua New Guinea,546.0,31.5,754894.0,1800,PG,PNG
americas,Honduras,675.0,33.9,126118.0,1800,HN,HND
africa,Ethiopia,523.0,29.7,2948990.0,1800,ET,ETH
americas,Peru,1204.0,35.7,1314151.0,1800,PE,PER
africa,Zimbabwe,870.0,33.7,1085814.0,1801,ZW,ZWE
africa,Zambia,665.0,32.6,747000.0,1801,ZM,ZMB
americas,United States,2168.0,39.41,6933516.0,1801,US,USA
europe,United Kingdom,3439.0,37.35,12483870.0,1801,GB,GBR
asia,United Arab Emirates,1001.0,30.7,40153.0,1801,AE,ARE
europe,Ukraine,764.0,36.6,11215490.0,1801,UA,UKR
africa,Tunisia,716.0,28.8,862673.0,1801,TN,TUN
asia,Tonga,663.0,28.2,18654.0,1801,TO,TON
africa,Togo,683.0,31.3,445985.0,1801,TG,TGO
asia,Timor-Leste,522.0,28.95,137262.0,1801,TL,TLS
asia,Thailand,932.0,30.4,4665000.0,1801,TH,THA
asia,Tajikistan,557.0,24.24,466629.0,1801,TJ,TJK
europe,Switzerland,2701.0,38.0,1833734.0,1801,CH,CHE
americas,Suriname,1637.0,32.9,80721.0,1801,SR,SUR
africa,Sudan,518.0,31.4,3999435.0,1801,SD,SDN
africa,South Africa,1480.0,33.5,1446092.0,1801,ZA,ZAF
europe,Slovenia,1409.0,36.6,469664.0,1801,SI,SVN
asia,Singapore,1021.0,29.1,30000.0,1801,SG,SGP
africa,Sierra Leone,734.0,25.1,794264.0,1801,SL,SLE
europe,Serbia,1358.0,35.5,2147197.0,1801,RS,SRB
africa,Senegal,497.0,25.2,1009886.0,1801,SN,SEN
africa,Sao Tome and Principe,852.0,31.0,22731.0,1801,ST,STP
asia,Samoa,1400.0,25.4,47292.0,1801,WS,WSM
africa,Rwanda,432.0,25.0,928368.0,1801,RW,RWA
europe,Romania,816.0,35.7,5506976.0,1801,RO,ROU
asia,Qatar,1101.0,30.8,14092.0,1801,QA,QAT
americas,Puerto Rico,1375.0,30.43,158709.0,1801,PR,PRI
europe,Greenland,393.0,33.87,9584.0,1801,GL,GRL
europe,Bosnia and Herzegovina,669.0,35.1,851806.0,1801,BA,BIH
europe,Germany,1651.0,38.37,22983824.0,1801,DE,DEU
asia,Uzbekistan,502.0,26.93,1919159.0,1801,UZ,UZB
americas,Dominican Republic,667.0,29.9,89000.0,1801,DO,DOM
africa,Djibouti,754.0,29.9,22848.0,1801,DJ,DJI
europe,France,1806.0,36.37,29447067.0,1801,FR,FRA
asia,Myanmar,840.0,30.8,3506000.0,1801,MM,MMR
europe,Greece,1374.0,36.6,2158925.0,1801,GR,GRC
europe,Denmark,2017.0,38.51,1066957.0,1801,DK,DNK
americas,Cuba,874.0,32.33,355457.0,1801,CU,CUB
europe,Cyprus,854.0,38.5,184412.0,1801,CY,CYP
africa,Malawi,350.0,30.3,737000.0,1801,MW,MWI
europe,Finland,1246.0,40.3,986439.0,1801,FI,FIN
europe,Georgia,543.0,31.87,1072178.0,1801,GE,GEO
africa,Madagascar,573.0,30.5,1549842.0,1801,MG,MDG
americas,Costa Rica,775.0,30.21,53000.0,1801,CR,CRI
asia,Turkmenistan,944.0,24.0,367215.0,1801,TM,TKM
africa,Chad,418.0,30.9,1432000.0,1801,TD,TCD
africa,Liberia,797.0,31.1,313543.0,1801,LR,LBR
africa,Ethiopia,523.0,29.7,2948990.0,1801,ET,ETH
americas,Barbados,914.0,32.12,81729.0,1801,BB,BRB
africa,South Sudan,507.0,26.67,1028736.0,1801,SS,SSD
asia,Vanuatu,586.0,24.3,27791.0,1801,VU,VUT
asia,Saudi Arabia,846.0,32.1,2091000.0,1801,SA,SAU
americas,Bahamas,1445.0,35.18,27350.0,1801,BS,BHS
africa,Comoros,697.0,32.1,56346.0,1801,KM,COM
europe,Albania,667.0,35.4,411733.0,1801,AL,ALB
europe,Poland,1217.0,35.9,9552632.0,1801,PL,POL
americas,Nicaragua,973.0,25.4,219387.0,1801,NI,NIC
americas,Argentina,1508.0,33.2,534000.0,1801,AR,ARG
africa,Gabon,390.0,30.6,158227.0,1801,GA,GAB
africa,Ghana,696.0,28.0,2016034.0,1801,GH,GHA
americas,Brazil,1109.0,32.0,3678743.0,1801,BR,BRA
americas,Trinidad and Tobago,1230.0,32.9,60000.0,1801,TT,TTO
europe,Armenia,514.0,34.0,413326.0,1801,AM,ARM
americas,El Salvador,975.0,28.7,248000.0,1801,SV,SLV
europe,Sweden,1402.0,36.9,2354278.0,1801,SE,SWE
europe,Austria,1855.0,34.4,3213566.0,1801,AT,AUT
asia,Maldives,843.0,32.65,42378.0,1801,MV,MDV
asia,Solomon Islands,363.0,25.1,56998.0,1801,SB,SLB
europe,Estonia,939.0,35.7,334136.0,1801,EE,EST
africa,Angola,620.0,26.98,1567028.0,1801,AO,AGO
europe,Luxembourg,1453.0,36.9,127030.0,1801,LU,LUX
europe,Belarus,608.0,36.2,2355081.0,1801,BY,BLR
americas,Ecuador,529.0,32.9,500000.0,1801,EC,ECU
americas,Antigua and Barbuda,757.0,33.54,37000.0,1801,AG,ATG
africa,Eritrea,532.0,30.2,205010.0,1801,ER,ERI
asia,Afghanistan,603.0,28.2,3280000.0,1801,AF,AFG
asia,Bahrain,1240.0,30.3,64474.0,1801,BH,BHR
americas,Uruguay,1758.0,32.9,55000.0,1801,UY,URY
asia,Malaysia,997.0,30.6,287000.0,1801,MY,MYS
africa,Botswana,397.0,33.6,121000.0,1801,BW,BWA
americas,Belize,579.0,26.5,25526.0,1801,BZ,BLZ
africa,Mauritius,940.0,28.7,64209.0,1801,MU,MUS
africa,Algeria,716.0,28.82,2512195.0,1801,DZ,DZA
europe,Turkey,1221.0,35.0,9788268.0,1801,TR,TUR
americas,Paraguay,835.0,35.5,143000.0,1801,PY,PRY
europe,Portugal,1685.0,35.6,3046117.0,1801,PT,PRT
europe,Belgium,2413.0,40.01,3152306.0,1801,BE,BEL
africa,Guinea,450.0,29.51,983959.0,1801,GN,GIN
europe,Azerbaijan,775.0,29.17,879960.0,1801,AZ,AZE
americas,Guyana,1214.0,31.12,166034.0,1801,GY,GUY
africa,Cameroon,626.0,28.75,1860054.0,1801,CM,CMR
africa,Benin,597.0,31.0,636559.0,1801,BJ,BEN
asia,China,985.0,32.0,324408863.0,1801,CN,CHN
asia,Cambodia,904.0,35.0,2090000.0,1801,KH,KHM
asia,Bhutan,629.0,28.8,89989.0,1801,BT,BTN
africa,Equatorial Guinea,356.0,29.8,80377.0,1801,GQ,GNQ
asia,India,1052.0,25.44,168907300.0,1801,IN,IND
africa,Gambia,813.0,28.8,103274.0,1801,GM,GMB
africa,Somalia,694.0,29.4,991911.0,1801,SO,SOM
europe,Netherlands,4161.0,39.86,2258383.0,1801,NL,NLD
asia,Indonesia,994.0,30.0,16150710.0,1801,ID,IDN
americas,Canada,1322.0,39.0,653134.0,1801,CA,CAN
asia,New Zealand,659.0,34.05,100000.0,1801,NZ,NZL
americas,Chile,1026.0,32.0,771447.0,1801,CL,CHL
europe,Bulgaria,1089.0,35.84,2001629.0,1801,BG,BGR
africa,Burkina Faso,480.0,29.2,1665421.0,1801,BF,BFA
africa,Burundi,418.0,31.5,899097.0,1801,BI,BDI
americas,Guatemala,857.0,25.8,464961.0,1801,GT,GTM
africa,Egypt,791.0,33.0,4241026.0,1801,EG,EGY
asia,Yemen,879.0,23.39,2593000.0,1801,YE,YEM
africa,Guinea-Bissau,777.0,32.0,218167.0,1801,GW,GNB
asia,Kuwait,1101.0,26.0,81280.0,1801,KW,KWT
asia,Kiribati,551.0,24.9,17876.0,1801,KI,KIR
europe,Ireland,1447.0,38.3,4109205.0,1801,IE,IRL
africa,Central African Republic,424.0,30.0,479444.0,1801,CF,CAF
americas,Haiti,633.0,29.0,723000.0,1801,HT,HTI
americas,Honduras,675.0,33.9,130000.0,1801,HN,HND
americas,Mexico,1379.0,26.9,6201367.0,1801,MX,MEX
americas,Peru,1204.0,35.7,1314294.0,1801,PE,PER
africa,Seychelles,795.0,37.0,12522.0,1801,SC,SYC
europe,Iceland,926.0,33.88,61428.0,1801,IS,ISL
africa,Mozambique,391.0,30.28,1987858.0,1801,MZ,MOZ
asia,Iraq,970.0,31.2,1077718.0,1801,IQ,IRQ
asia,Israel,880.0,32.0,209954.0,1801,IL,ISR
europe,Italy,2197.0,29.69,18887712.0,1801,IT,ITA
americas,Jamaica,1171.0,34.2,401000.0,1801,JM,JAM
asia,Japan,1051.0,36.4,30329275.0,1801,JP,JPN
asia,Jordan,976.0,31.7,217000.0,1801,JO,JOR
asia,Kazakhstan,1141.0,26.2,2041282.0,1801,KZ,KAZ
africa,Kenya,856.0,25.5,2574000.0,1801,KE,KEN
africa,Nigeria,853.0,30.4,12100855.0,1801,NG,NGA
americas,Panama,847.0,32.9,78842.0,1801,PA,PAN
europe,Spain,1518.0,29.5,11581132.0,1801,ES,ESP
asia,Pakistan,1021.0,25.8,13149511.0,1801,PK,PAK
americas,Colombia,963.0,32.0,1206000.0,1801,CO,COL
europe,Latvia,752.0,33.0,590588.0,1801,LV,LVA
africa,Lesotho,393.0,32.8,276361.0,1801,LS,LSO
africa,Niger,446.0,30.8,1244861.0,1801,NE,NER
africa,Libya,1050.0,33.1,531796.0,1801,LY,LBY
europe,Lithuania,1271.0,28.9,778655.0,1801,LT,LTU
asia,Sri Lanka,898.0,32.6,1213000.0,1801,LK,LKA
africa,Mali,603.0,26.41,1403398.0,1801,ML,MLI
europe,Hungary,1249.0,36.0,3529548.0,1801,HU,HUN
europe,Malta,782.0,28.7,134072.0,1801,MT,MLT
africa,Mauritania,528.0,32.0,382696.0,1801,MR,MRT
americas,Grenada,959.0,31.4,29409.0,1801,GD,GRD
asia,Mongolia,592.0,31.8,619000.0,1801,MN,MNG
europe,Montenegro,1058.0,35.4,126582.0,1801,ME,MNE
africa,Morocco,715.0,33.1,2512195.0,1801,MA,MAR
africa,Uganda,464.0,25.3,2101397.0,1801,UG,UGA
africa,Namibia,540.0,32.4,229000.0,1801,NA,NAM
asia,Lebanon,1082.0,29.7,332000.0,1801,LB,LBN
asia,Nepal,654.0,32.8,3881000.0,1801,NP,NPL
asia,Bangladesh,876.0,25.5,19265271.0,1801,BD,BGD
asia,Oman,916.0,32.3,318000.0,1801,OM,OMN
europe,Norway,1280.0,35.82,873380.0,1801,NO,NOR
asia,Australia,816.0,34.05,350143.0,1801,AU,AUS
americas,Aruba,833.0,34.42,19286.0,1801,AW,ABW
asia,Papua New Guinea,546.0,31.5,754894.0,1801,PG,PNG
asia,Fiji,785.0,26.1,130746.0,1801,FJ,FJI
asia,Philippines,962.0,30.9,1894389.0,1801,PH,PHL
africa,Zimbabwe,871.0,33.7,1085814.0,1802,ZW,ZWE
asia,Vanuatu,586.0,24.3,27791.0,1802,VU,VUT
americas,United States,2203.0,39.41,7067728.0,1802,US,USA
europe,United Kingdom,3450.0,38.62,12642258.0,1802,GB,GBR
asia,United Arab Emirates,1005.0,30.7,40153.0,1802,AE,ARE
africa,Tunisia,716.0,28.8,863317.0,1802,TN,TUN
asia,Tonga,663.0,28.2,18651.0,1802,TO,TON
asia,Timor-Leste,523.0,28.95,137262.0,1802,TL,TLS
asia,Thailand,932.0,30.4,4665000.0,1802,TH,THA
asia,Tajikistan,557.0,24.24,466629.0,1802,TJ,TJK
africa,Togo,683.0,31.3,445985.0,1802,TG,TGO
europe,Switzerland,2702.0,38.0,1841448.0,1802,CH,CHE
americas,Suriname,1637.0,32.9,80721.0,1802,SR,SUR
africa,Sudan,518.0,31.4,4004722.0,1802,SD,SDN
africa,South Africa,1480.0,33.5,1451383.0,1802,ZA,ZAF
africa,Zambia,667.0,32.6,747000.0,1802,ZM,ZMB
europe,Slovenia,1409.0,36.6,469664.0,1802,SI,SVN
asia,Singapore,1022.0,29.1,30000.0,1802,SG,SGP
europe,Serbia,1358.0,35.5,2147197.0,1802,RS,SRB
africa,Senegal,497.0,25.2,1009886.0,1802,SN,SEN
africa,Sao Tome and Principe,853.0,31.0,22731.0,1802,ST,STP
africa,Rwanda,432.0,25.0,928368.0,1802,RW,RWA
europe,Romania,816.0,35.7,5550204.0,1802,RO,ROU
asia,Qatar,1105.0,30.8,14092.0,1802,QA,QAT
americas,Puerto Rico,1376.0,30.43,162507.0,1802,PR,PRI
americas,Grenada,959.0,31.4,29409.0,1802,GD,GRD
europe,Greenland,393.0,33.87,9584.0,1802,GL,GRL
europe,Bosnia and Herzegovina,669.0,35.1,851806.0,1802,BA,BIH
europe,Greece,1376.0,36.6,2166723.0,1802,GR,GRC
asia,Samoa,1401.0,25.4,47284.0,1802,WS,WSM
europe,Germany,1663.0,38.37,23081140.0,1802,DE,DEU
asia,Uzbekistan,502.0,26.93,1919159.0,1802,UZ,UZB
europe,France,1810.0,34.38,29539311.0,1802,FR,FRA
americas,Dominican Republic,667.0,29.9,89000.0,1802,DO,DOM
asia,Myanmar,840.0,30.8,3506000.0,1802,MM,MMR
europe,Denmark,2020.0,44.37,1071419.0,1802,DK,DNK
americas,Cuba,884.0,32.45,366184.0,1802,CU,CUB
europe,Cyprus,854.0,38.5,184432.0,1802,CY,CYP
africa,Malawi,350.0,30.3,737000.0,1802,MW,MWI
europe,Finland,1248.0,39.2,995294.0,1802,FI,FIN
europe,Georgia,543.0,31.87,1072178.0,1802,GE,GEO
africa,Madagascar,573.0,30.5,1556580.0,1802,MG,MDG
americas,Costa Rica,775.0,30.21,53484.0,1802,CR,CRI
asia,China,985.0,32.0,327165946.0,1802,CN,CHN
asia,Turkmenistan,945.0,24.0,367215.0,1802,TM,TKM
africa,Chad,418.0,30.9,1432000.0,1802,TD,TCD
africa,Liberia,797.0,31.1,313543.0,1802,LR,LBR
europe,Albania,668.0,35.4,413026.0,1802,AL,ALB
africa,Ethiopia,523.0,29.7,2948990.0,1802,ET,ETH
americas,Barbados,914.0,32.12,81729.0,1802,BB,BRB
africa,South Sudan,507.0,26.67,1030097.0,1802,SS,SSD
americas,Belize,579.0,26.5,25526.0,1802,BZ,BLZ
asia,Saudi Arabia,847.0,32.1,2091000.0,1802,SA,SAU
africa,Comoros,697.0,32.1,56346.0,1802,KM,COM
europe,Azerbaijan,775.0,29.17,879960.0,1802,AZ,AZE
europe,Poland,1222.0,35.9,9596718.0,1802,PL,POL
americas,Argentina,1508.0,33.2,534000.0,1802,AR,ARG
africa,Gabon,390.0,30.6,158227.0,1802,GA,GAB
africa,Eritrea,532.0,30.2,205010.0,1802,ER,ERI
africa,Ghana,697.0,28.0,2016034.0,1802,GH,GHA
americas,Trinidad and Tobago,1231.0,32.9,60000.0,1802,TT,TTO
asia,Afghanistan,603.0,28.19,3280000.0,1802,AF,AFG
americas,Brazil,1109.0,32.0,3718270.0,1802,BR,BRA
asia,Solomon Islands,363.0,25.1,56998.0,1802,SB,SLB
europe,Estonia,940.0,35.26,334136.0,1802,EE,EST
europe,Armenia,514.0,34.0,413326.0,1802,AM,ARM
europe,Austria,1863.0,34.4,3221565.0,1802,AT,AUT
africa,Botswana,397.0,33.6,121000.0,1802,BW,BWA
africa,Angola,623.0,26.98,1567028.0,1802,AO,AGO
americas,El Salvador,975.0,28.7,248000.0,1802,SV,SLV
europe,Luxembourg,1453.0,36.9,127030.0,1802,LU,LUX
africa,Djibouti,757.0,29.9,22848.0,1802,DJ,DJI
asia,Bahrain,1246.0,30.3,64474.0,1802,BH,BHR
europe,Sweden,1467.0,40.2,2360724.0,1802,SE,SWE
americas,Ecuador,529.0,32.9,500000.0,1802,EC,ECU
americas,Antigua and Barbuda,757.0,33.54,37000.0,1802,AG,ATG
africa,Algeria,717.0,28.82,2521203.0,1802,DZ,DZA
asia,Malaysia,998.0,30.6,287000.0,1802,MY,MYS
americas,Uruguay,1758.0,32.9,55000.0,1802,UY,URY
europe,Belarus,608.0,36.2,2355081.0,1802,BY,BLR
asia,Yemen,882.0,23.39,2593000.0,1802,YE,YEM
americas,Paraguay,835.0,35.5,143000.0,1802,PY,PRY
africa,Burkina Faso,480.0,29.2,1665421.0,1802,BF,BFA
europe,Portugal,1685.0,35.6,3058832.0,1802,PT,PRT
africa,Guinea,450.0,29.52,983959.0,1802,GN,GIN
americas,Guyana,1214.0,31.12,166034.0,1802,GY,GUY
africa,Cameroon,626.0,28.75,1860054.0,1802,CM,CMR
africa,Benin,597.0,31.0,636559.0,1802,BJ,BEN
asia,Cambodia,904.0,35.0,2090000.0,1802,KH,KHM
americas,Bahamas,1445.0,35.18,27350.0,1802,BS,BHS
asia,Bhutan,630.0,28.8,89989.0,1802,BT,BTN
africa,Mauritius,940.0,28.7,65581.0,1802,MU,MUS
americas,Honduras,675.0,33.9,130258.0,1802,HN,HND
africa,Equatorial Guinea,357.0,29.8,80377.0,1802,GQ,GNQ
africa,Gambia,814.0,28.8,103274.0,1802,GM,GMB
asia,Indonesia,995.0,30.0,16192985.0,1802,ID,IDN
americas,Canada,1330.0,39.0,660832.0,1802,CA,CAN
asia,New Zealand,659.0,34.05,100000.0,1802,NZ,NZL
americas,Chile,1027.0,32.0,771447.0,1802,CL,CHL
europe,Bulgaria,1089.0,35.89,2010981.0,1802,BG,BGR
africa,Burundi,419.0,31.5,899097.0,1802,BI,BDI
europe,Netherlands,4391.0,39.86,2262250.0,1802,NL,NLD
americas,Guatemala,857.0,25.8,471035.0,1802,GT,GTM
africa,Egypt,791.0,33.0,4238538.0,1802,EG,EGY
americas,Nicaragua,973.0,25.4,219387.0,1802,NI,NIC
africa,Guinea-Bissau,777.0,32.0,218167.0,1802,GW,GNB
